district,rps01,rps02,rps03,rps04,rps05,rps06,rps07,rps08,rps09,rps10,rps11,rps12,rps13,rps14,rps15,rps16,rps17,rps18,rps19,rps20,rps21,rps22,rps23,rps24,rps25,rps26,rps27,rps28,rps29,rps30,rps31
淡水區,房地(土地+建物)+車位,新北市淡水區淡金路２１號四樓,8.03,商,,,1110212,土地1建物1車位1,四層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,970909,143.41,2,2,2,有,有,11680000,81439,坡道機械,0,0,陽台外推；,RPVQMLMJLHHGFEF38DA,77.08,3.15,6.23,有
淡水區,房地(土地+建物)+車位,新北市淡水區興福寮８８巷１１號九樓,75.05,,山坡地保育區,丙種建築用地,1110207,土地2建物1車位1,九層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨構造,1030820,195.57,2,2,1,有,有,21800000,133893,坡道平面,43.21,1400000,,RPXPMLMJLHHGFEF48DA,94.54,0,9.58,有
淡水區,房地(土地+建物),新北市淡水區重建街１６１號四樓,25.69,住,,,1110213,土地1建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,690111,72.59,0,2,1,有,無,3480000,47940,,0,0,頂樓加蓋；,RPUSMLOKKHHGFEF68DA,72.59,0,0,無
淡水區,土地,水仙段618-1地號,102.97,住,,,1110211,土地8建物0車位0,,,其他,,,,0,0,0,0,有,無,9344190,90747,,0,0,,RPTQMLSJLHHGFEF88EA,0,0,0,無
淡水區,房地(土地+建物),新北市淡水區北新路１８４巷７８號二樓,22.26,住,,,1110217,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,930916,62.19,2,0,2,有,有,4320000,69465,,0,0,,RPWQMLSJLHHGFEF56EA,40.63,1.05,4.68,有
淡水區,房地(土地+建物)+車位,新北市淡水區興福寮８８巷１３９號,209.83,,山坡地保育區,丙種建築用地,1110226,土地2建物1車位1,全,三層,透天厝,住家用,鋼筋混凝土造,900411,270.4,4,2,2,有,有,19500000,72115,坡道平面,0,0,陽台外推；其他增建；,RPVOMLTJLHHGFEF98EA,243.25,0,18.75,無
淡水區,房地(土地+建物)+車位,新北市淡水區中正東路二段２７之１０號八樓,31.69,工,,,1110225,土地1建物1車位1,八層,三十層,住宅大樓(11層含以上有電梯),辦公用,鋼骨鋼筋混凝土造,890418,377.33,0,0,0,無,有,23500000,62280,坡道平面,0,1200000,,RPWOMLTJLHHGFEF09EA,210.37,0,22.76,有
淡水區,房地(土地+建物)+車位,新北市淡水區新市一路三段１０１巷１６弄８號十三樓,20.83,住,,,1110210,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,980406,149.16,3,2,2,有,有,9350000,62684,坡道平面,31.42,0,,RPXOMLTJLHHGFEF56EA,71.3,3.01,7.6,有
淡水區,房地(土地+建物),新北市淡水區北新路１８２巷３弄７號四樓之２,7.12,住,,,1110106,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,780417,26.98,1,0,1,有,無,1800000,66716,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRRMLKKJHHGFEF87EA,18.08,2.87,0,無
淡水區,房地(土地+建物),新北市淡水區北新路１８２巷３弄７號四樓,6.77,住,,,1110106,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,780417,26.98,1,0,1,有,無,1800000,66716,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSRMLKKJHHGFEF97EA,17.21,2.72,0,無
淡水區,房地(土地+建物),新北市淡水區北新路１８２巷３弄５號四樓之２,6.77,住,,,1110106,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,780417,26.98,1,0,1,有,無,1800000,66716,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSSMLKKJHHGFEF08EA,17.21,2.72,0,無
淡水區,車位,新北市淡水區大忠街６８、７０、７２、７４、７６、７８、８０、８２、８４、８６、８８、９０、９２、９４號之地下室底一、二、三層,0,,,,1110107,土地0建物1車位1,,,其他,,,,41.79,0,0,0,有,有,1000000,,坡道平面,41.79,1000000,僅車位交易；,RPVNMLMKJHHGFEF08EA,0,0,0,有
淡水區,房地(土地+建物),新北市淡水區水源街二段９２巷１６號五樓,27,住,,,1110101,土地2建物1車位0,五層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,690424,103.2,5,0,5,有,無,4700000,45543,,0,0,頂樓鐵皮無牆面陽台外推；其他增建；,RPPNMLOKJHHGFEF67EA,103.2,0,0,無
淡水區,房地(土地+建物),新北市淡水區水源街二段９２巷１３號四樓之５,14.29,住,,,1110104,土地1建物1車位0,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,981125,61.77,2,0,2,有,有,5200000,84183,,0,0,,RPUPMLNKJHHGFEF18DA,34.76,0.74,4.89,有
淡水區,土地,淡海段229地號,889.19,住,,,1110104,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,80694000,90750,,0,0,,RPOTMLOKJHHGFEF08DA,0,0,0,無
淡水區,建物,新北市淡水區民權路２４號七樓,0,,,,1110105,土地0建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,850110,57.36,1,1,1,有,有,5000000,87169,,0,0,,RPPPMLRKJHHGFEF18EA,47.54,0,6.22,有
淡水區,房地(土地+建物),新北市淡水區大忠街８５號六樓之９,5,住,,,1110103,土地1建物1車位0,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,790828,27.95,1,0,1,有,有,2000000,71556,,0,0,,RPWNMLRKJHHGFEF68EA,16.63,0,2.78,有
淡水區,車位,新北市淡水區北新路１８６、１８６之１、１８８、１８８之１號地下二樓,0,,,,1110110,土地0建物1車位1,停車場，地下二層,十六層,其他,共有部份,鋼筋混凝土造,820417,33.75,0,0,0,有,有,750000,,坡道平面,33.75,750000,僅車位交易；,RPTNMLTKJHHGFEF58EA,0,0,0,有
淡水區,車位,新北市淡水區新市二路一段２８號等,4.2,住,,,1110107,土地1建物1車位1,,,其他,,,,49.13,0,0,0,有,有,1450000,,坡道平面,49.13,1450000,僅車位交易；,RPQQMLRKJHHGFEF28DA,0,0,0,有
淡水區,房地(土地+建物),新北市淡水區中正路二段４２之１號十二樓,7.66,商,,,1110107,土地2建物1車位0,十二層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061026,97.57,1,2,1,有,有,11480000,117659,,0,0,,RPXRMLKKJHHGFEF38DA,47.73,6.29,9.51,有
淡水區,房地(土地+建物),新北市淡水區學府路１３６巷５５號七樓之８,7.1,住,,,1110107,土地1建物1車位0,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,961002,33.84,1,0,1,有,有,2770000,81856,,0,0,陽台外推；,RPXOMLTKJHHGFEF98DA,19.67,0,2.94,有
淡水區,房地(土地+建物),新北市淡水區學府路１３６巷５５號七樓之７,7.1,住,,,1110113,土地1建物1車位0,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,961002,33.84,1,0,1,有,有,2770000,81856,,0,0,陽台外推；,RPOOMLKLJHHGFEF27DA,19.67,0,2.94,有
淡水區,房地(土地+建物)+車位,新北市淡水區鄧公路２９巷２０號七樓,12.39,住,,,1110105,土地1建物1車位1,七層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840831,82.07,3,1,2,有,有,4100000,49963,坡道平面,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQPMLTKJHHGFEF48EA,47.88,1.83,5.81,有
淡水區,房地(土地+建物),新北市淡水區中山北路一段２３１之１號十八樓,1.86,住,,,1110102,土地1建物1車位0,十八層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,880806,29.23,1,0,1,有,有,2150000,73555,,0,0,,RPSRMLRKJHHGFEF58DA,19.82,1.63,0,有
淡水區,房地(土地+建物),新北市淡水區北新路１８２巷３５號三樓之６,4.89,住,,,1110110,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,780122,22.49,0,0,0,無,有,1600000,71143,,0,0,陽台外推；,RPRNMLSKJHHGFEF18DA,13.7,0,2.03,無
淡水區,房地(土地+建物)+車位,新北市淡水區新市五路三段１５８號四樓,7.87,商,,,1110102,土地1建物1車位1,四層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061229,104.1,2,2,1,有,有,6410000,61575,坡道機械,15.42,0,,RPPOMLTKJHHGFEF18DA,52.44,2.8,5.35,有
淡水區,房地(土地+建物),新北市淡水區中山北路一段２５５號十樓之５,2.6,都市：其他:住宅區,,,1110106,土地2建物1車位0,十層,三十一層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,880811,41.62,1,1,1,有,有,3300000,79289,,0,0,,RPPNMLTKJHHGFEF08DA,28.91,0,3.87,有
淡水區,車位,新北市淡水區北新路１７７號等地下室底一層,0,,,,1110112,土地0建物1車位1,地下一層,二十三層,其他,防空避難室兼停車場,鋼筋混凝土造,840728,35.9,0,0,0,有,有,600000,,坡道平面,0,600000,僅車位交易；,RPSRMLOKJHHGFEF28DA,0,0,0,有
淡水區,房地(土地+建物)+車位,新北市淡水區新市一路一段５８號二十樓,17.33,住,,,1110103,土地1建物1車位1,二十層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000214,147.39,3,2,2,有,有,10000000,67847,坡道平面,22.88,0,,RPOOMLLLJHHGFEF47EA,73.33,9.19,5.63,有
淡水區,房地(土地+建物)+車位,新北市淡水區濱海路一段３０６巷６０弄２９號,7.29,住,,,1110107,土地1建物1車位1,一層，見其他登記事項,十四層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,990416,47.96,0,0,0,無,有,5130000,106964,升降機械,4.76,0,本案屬共有人間之交易，建物及車位持分1/2移轉親友、員工、共有人或其他特殊關係間之交易；,RPURMLMLJHHGFEF48EA,28.04,0,3.7,有
淡水區,房地(土地+建物),新北市淡水區民族路３１巷２４號,17.12,工,,,1110116,土地1建物1車位0,一層,十四層,住宅大樓(11層含以上有電梯),工業用,鋼筋混凝土造,841206,102.04,3,2,2,有,有,16600000,162681,,0,0,平台、廚房、客廳、次臥室增建其他增建；,RPVNMLPLJHHGFEF48EA,76.3,14.74,0,有
淡水區,車位,新北市淡水區民族路１１２巷２８號等,0,,,,1110114,土地0建物1車位1,,,其他,,,,40.35,0,0,0,有,有,1000000,,坡道平面,40.35,1000000,僅車位交易；,RPQNMLPLJHHGFEF97EA,0,0,0,有
淡水區,房地(土地+建物)+車位,新北市淡水區興福寮８８巷１０１號,163.21,,山坡地保育區,丙種建築用地,1110110,土地2建物1車位1,全,五層,透天厝,住家用,鋼筋混凝土造,890418,390.26,4,2,4,有,有,22000000,56373,一樓平面,0,0,,RPVPMLOLJHHGFEF58EA,289.37,0,27.55,無
淡水區,車位,新北市淡水區濱海路一段１２７號等,0.25,住,,,1110121,土地1建物1車位1,,,其他,,,,33.3,0,0,0,有,有,1360000,,坡道平面,33.3,1360000,僅車位交易；,RPTNMLOLJHHGFEF18EA,0,0,0,有
淡水區,土地,公司田段17地號,3011.24,都市：其他:捷運車站專用區,,,1110106,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,166900988,55426,,0,0,政府機關標讓售；,RPPNMLQLJHHGFEF97EA,0,0,0,無
淡水區,房地(土地+建物)+車位,新北市淡水區新市五路三段３１２號二十樓,9.85,商,,,1110113,土地1建物1車位1,二十層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061229,140.52,3,1,1,有,有,8830000,62838,坡道平面,30.84,0,,RPXQMLQLJHHGFEF09EA,63.35,6.44,5.14,有
淡水區,房地(土地+建物)+車位,新北市淡水區崁頂五路１６５巷１７號三樓,0.26,住,,,1110120,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060104,1.45,3,2,2,有,有,83680,57710,坡道平面,0.32,0,親友、員工、共有人或其他特殊關係間之交易；,RPPQMLLLJHHGFEF67DA,0,0,0,有
淡水區,房地(土地+建物),新北市淡水區北新路５０號二樓,24.89,住,,,1110113,土地1建物1車位0,二層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,830408,150.25,3,1,2,有,有,6300000,41930,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQOMLPLJHHGFEF97DA,96.84,0,13.76,有
淡水區,房地(土地+建物)+車位,新北市淡水區興福寮６６巷３２７號三樓,62.11,,山坡地保育區,丙種建築用地,1110104,土地2建物1車位1,三層，四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,980526,182.44,3,3,2,有,有,10000000,54813,坡道平面,35.33,0,,RPVRMLQLJHHGFEF88DA,94.97,0.85,11.59,有
淡水區,房地(土地+建物),新北市淡水區淡金路三段３０６號二樓,48.33,,山坡地保育區,丙種建築用地,1110104,土地1建物1車位0,二層，陽台,三層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,680219,79.6,3,2,1,有,無,4280000,53769,,0,0,其他增建；,RPUPMLLKJHHGFEF97DA,79.6,0,0,無
淡水區,房地(土地+建物),新北市淡水區學府路２０５巷６之６號三樓,5.27,住,,,1110116,土地1建物1車位0,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,850725,20.77,1,1,1,有,有,1550000,74627,,0,0,陽台外推；,RPTPMLRLJHHGFEF58DA,11.62,0.83,1.73,有
淡水區,房地(土地+建物)+車位,新北市淡水區濱海路三段１４８巷８５號五樓,36.25,住,,,1110107,土地1建物1車位1,五層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030613,165.99,2,1,2,有,有,9600000,57835,坡道平面,29.24,0,親友、員工、共有人或其他特殊關係間之交易；,RPXPMLQLJHHGFEF88DA,82.76,8.38,5.69,有
淡水區,房地(土地+建物),新北市淡水區淡金路３８巷３３號四樓之１６,5.33,住,,,1110113,土地1建物1車位0,四層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,980218,51.34,1,1,1,有,有,5400000,105181,,0,0,,RPQQMLQLJHHGFEF28DA,33.29,0,2.62,有
淡水區,房地(土地+建物)+車位,新北市淡水區濱海路一段３６６號五樓,29.35,住,,,1110106,土地1建物1車位1,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010827,188.77,4,2,2,有,有,14500000,76813,坡道平面,34.31,0,,RPTNMLQLJHHGFEF38EA,98.74,5.09,8.32,有
淡水區,房地(土地+建物)+車位,新北市淡水區淡金路３８巷３５弄１０號十一樓,27.79,住,,,1110107,土地1建物1車位1,十一層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,991102,177.9,2,2,2,有,有,13300000,74761,坡道平面,32.43,0,,RPSRMLQLJHHGFEF68EA,88.1,3,11.34,有
淡水區,房地(土地+建物)+車位,新北市淡水區坪頂路２８３號二樓,57.05,,山坡地保育區,丙種建築用地,1110112,土地2建物1車位1,二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,851009,171.61,2,1,2,有,有,6200000,36126,坡道平面,42.74,0,親友、員工、共有人或其他特殊關係間之交易；,RPTPMLMLJHHGFEF08DA,81.97,0,10.86,有
淡水區,房地(土地+建物)+車位,新北市淡水區新市五路三段３１２號八樓,9.85,商,,,1110102,土地1建物1車位1,八層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061229,140.57,1,2,1,有,有,8000000,56911,坡道平面,30.84,0,,RPUOMLSLJHHGFEF68DA,63.4,6.44,5.14,有
淡水區,房地(土地+建物),新北市淡水區學府路２０９號四樓,25.05,住,,,1110109,土地1建物1車位0,四層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,691119,84,2,2,2,有,無,4800000,57143,,0,0,陽台外推；,RPROMLRLJHHGFEF28DA,84,0,0,無
淡水區,房地(土地+建物)+車位,新北市淡水區新市三路二段３６７號二十四樓,5.19,商,,,1110104,土地1建物1車位1,二十四層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080822,83.67,1,1,1,有,有,5400000,69324,坡道平面,25.97,1400000,,RPSSMLQJJHHGFEF48DA,33.96,0,5.48,有
淡水區,房地(土地+建物)+車位,新北市淡水區新市一路一段６０號二十樓,15.31,住,,,1110108,土地1建物1車位1,二十層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000214,132.81,3,2,2,有,有,9300000,70025,坡道平面,24.56,0,,RPQNMLSLJHHGFEF28EA,64.64,5.96,5.66,有
